# powersource_curr1_set	powersource_voltage2
# "Current"	"Voltage"
# 51
-1e-05	0.00032
-9.6e-06	0.00036
-9.2e-06	0.0003
-8.8e-06	0.0004
-8.4e-06	0.00041
-8e-06	0.00041
-7.6e-06	0.00056
-7.2e-06	0.0005
-6.8e-06	0.00048
-6.4e-06	0.00055
-6e-06	0.00063
-5.6e-06	0.00056
-5.2e-06	0.00056
-4.8e-06	0.00049
-4.4e-06	0.00052
-4e-06	0.00056
-3.6e-06	0.00066
-3.2e-06	0.00068
-2.8e-06	0.00079
-2.4e-06	0.00076
-2e-06	0.00073
-1.6e-06	0.00066
-1.2e-06	0.00072
-8e-07	0.00069
-4e-07	0.00078
0	0.00084
4e-07	0.00085
8e-07	0.00081
1.2e-06	0.00093
1.6e-06	0.00099
2e-06	0.00088
2.4e-06	0.00089
2.8e-06	0.00087
3.2e-06	0.00093
3.6e-06	0.00102
4e-06	0.0011
4.4e-06	0.00106
4.8e-06	0.00114
5.2e-06	0.00111
5.6e-06	0.00102
6e-06	0.0012
6.4e-06	0.00119
6.8e-06	0.00124
7.2e-06	0.00119
7.6e-06	0.00124
8e-06	0.00121
8.4e-06	0.00118
8.8e-06	0.00131
9.2e-06	0.00129
9.6e-06	0.00127
1e-05	0.00135
