# powersource_curr1_set	powersource_voltage1
# "Current"	"Voltage"
# 51
-1e-05	-0.00049
-9.6e-06	-0.00049
-9.2e-06	-0.0004
-8.8e-06	-0.00041
-8.4e-06	-0.00031
-8e-06	-0.00034
-7.6e-06	-0.00037
-7.2e-06	-0.00028
-6.8e-06	-0.00026
-6.4e-06	-0.00028
-6e-06	-0.00017
-5.6e-06	-0.00015
-5.2e-06	-0.00016
-4.8e-06	-0.00015
-4.4e-06	-7e-05
-4e-06	-2e-05
-3.6e-06	-2e-05
-3.2e-06	-4e-05
-2.8e-06	7e-05
-2.4e-06	9e-05
-2e-06	2e-05
-1.6e-06	0.00013
-1.2e-06	0.00016
-8e-07	0.00013
-4e-07	0.00019
0	0.00024
4e-07	0.00022
8e-07	0.00031
1.2e-06	0.00026
1.6e-06	0.00031
2e-06	0.00032
2.4e-06	0.00039
2.8e-06	0.00045
3.2e-06	0.00044
3.6e-06	0.00045
4e-06	0.00046
4.4e-06	0.00052
4.8e-06	0.00059
5.2e-06	0.00055
5.6e-06	0.00062
6e-06	0.00068
6.4e-06	0.00068
6.8e-06	0.00068
7.2e-06	0.00071
7.6e-06	0.00078
8e-06	0.00079
8.4e-06	0.00079
8.8e-06	0.00083
9.2e-06	0.0009
9.6e-06	0.00091
1e-05	0.00087
