# powersource_curr2_set	powersource_voltage2
# "Current"	"Voltage"
# 51
-1e-05	-0.0009
-9.6e-06	-0.00087
-9.2e-06	-0.00084
-8.8e-06	-0.00083
-8.4e-06	-0.0008
-8e-06	-0.00076
-7.6e-06	-0.00073
-7.2e-06	-0.00071
-6.8e-06	-0.00068
-6.4e-06	-0.00063
-6e-06	-0.00061
-5.6e-06	-0.00057
-5.2e-06	-0.00056
-4.8e-06	-0.00051
-4.4e-06	-0.00048
-4e-06	-0.00044
-3.6e-06	-0.00041
-3.2e-06	-0.00041
-2.8e-06	-0.00036
-2.4e-06	-0.00034
-2e-06	-0.00031
-1.6e-06	-0.00028
-1.2e-06	-0.00024
-8e-07	-0.00023
-4e-07	-0.00021
0	-0.00017
4e-07	-0.00013
8e-07	-0.00012
1.2e-06	-8e-05
1.6e-06	-5e-05
2e-06	-2e-05
2.4e-06	1e-05
2.8e-06	4e-05
3.2e-06	7e-05
3.6e-06	0.00012
4e-06	0.00013
4.4e-06	0.00016
4.8e-06	0.00018
5.2e-06	0.00022
5.6e-06	0.00023
6e-06	0.00029
6.4e-06	0.00033
6.8e-06	0.00036
7.2e-06	0.00039
7.6e-06	0.00041
8e-06	0.00045
8.4e-06	0.00046
8.8e-06	0.00048
9.2e-06	0.00052
9.6e-06	0.00055
1e-05	0.00058
